,Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
5039,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Namibia,NAM,1975,6.0,
5081,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Nauru,NRU,1975,51.4,
5123,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Nepal,NPL,1975,0.4,
5207,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,New Zealand,NZL,1975,12.3,
4325,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Madagascar,MDG,1975,0.9,
6173,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Senegal,SEN,1975,2.3,
6257,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Seychelles,SYC,1975,5.3,
7265,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Tunisia,TUN,1975,11.9,
7307,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Turkiye,TUR,1975,12.9,
7349,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Turkmenistan,TKM,1975,7.1,
7391,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Tuvalu,TUV,1975,23.5,
7433,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Uganda,UGA,1975,1.0,
7475,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Ukraine,UKR,1975,16.5,
7517,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,United Arab Emirates,ARE,1975,24.1,
7559,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,United Kingdom,GBR,1975,10.8,
7601,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,United States,USA,1975,13.3,
7643,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Uruguay,URY,1975,14.6,
7685,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Uzbekistan,UZB,1975,5.6,
7727,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Vanuatu,VUT,1975,8.1,
7769,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,"Venezuela, RB",VEN,1975,13.2,
7811,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Vietnam,VNM,1975,0.2,
7853,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,"Yemen, Rep.",YEM,1975,4.2,
7895,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Zambia,ZMB,1975,2.5,
8021,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Afghanistan,AFG,1975,0.2,
8063,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Albania,ALB,1975,4.4,
8105,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Algeria,DZA,1975,2.8,
7223,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Trinidad and Tobago,TTO,1975,5.9,
6215,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Serbia,SRB,1975,10.3,
7181,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Tonga,TON,1975,26.5,
7097,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Timor-Leste,TLS,1975,0.4,
6299,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Sierra Leone,SLE,1975,2.1,
6341,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Singapore,SGP,1975,4.5,
6383,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Slovak Republic,SVK,1975,9.9,
6425,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Slovenia,SVN,1975,10.1,
6467,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Solomon Islands,SLB,1975,7.0,
6509,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Somalia,SOM,1975,2.0,
6551,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,South Africa,ZAF,1975,17.1,
6593,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Spain,ESP,1975,11.5,
6635,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Sri Lanka,LKA,1975,1.0,
6677,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,St. Kitts and Nevis,KNA,1975,9.9,
6719,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,St. Lucia,LCA,1975,7.7,
6761,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,St. Vincent and the Grenadines,VCT,1975,8.2,
6803,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Suriname,SUR,1975,11.8,
6845,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Sweden,SWE,1975,8.8,
6887,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Switzerland,CHE,1975,5.3,
6929,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Syrian Arab Republic,SYR,1975,13.0,
6971,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Tajikistan,TJK,1975,5.2,
7013,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Tanzania,TZA,1975,1.4,
7055,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Thailand,THA,1975,1.3,
7139,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Togo,TGO,1975,1.8,
8147,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Andorra,AND,1975,9.7,
4283,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Luxembourg,LUX,1975,8.9,
4199,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Libya,LBY,1975,16.3,
1469,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Chad,TCD,1975,1.1,
1511,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Chile,CHL,1975,14.2,
1553,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,China,CHN,1975,0.7,
1595,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Colombia,COL,1975,9.6,
1637,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Comoros,COM,1975,2.0,
1679,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,"Congo, Dem. Rep.",COD,1975,1.4,
1721,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,"Congo, Rep.",COG,1975,2.5,
1763,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Costa Rica,CRI,1975,7.7,
1805,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Cote d'Ivoire,CIV,1975,2.5,
1847,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Croatia,HRV,1975,11.5,
1889,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Cuba,CUB,1975,12.1,
1931,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Cyprus,CYP,1975,6.9,
1973,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Czechia,CZE,1975,17.1,
2015,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Denmark,DNK,1975,7.9,
2057,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Djibouti,DJI,1975,6.4,
2099,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Dominica,DMA,1975,10.3,
2141,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Dominican Republic,DOM,1975,9.3,
2183,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Ecuador,ECU,1975,7.5,
2225,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,"Egypt, Arab Rep.",EGY,1975,17.9,
1427,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Central African Republic,CAF,1975,1.9,
2267,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,El Salvador,SLV,1975,8.4,
1385,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Canada,CAN,1975,10.8,
1301,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Cambodia,KHM,1975,0.4,
503,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Azerbaijan,AZE,1975,8.4,
545,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,"Bahamas, The",BHS,1975,17.7,
587,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Bahrain,BHR,1975,22.1,
629,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Bangladesh,BGD,1975,0.4,
671,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Barbados,BRB,1975,11.5,
713,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Belarus,BLR,1975,13.5,
755,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Belgium,BEL,1975,12.4,
797,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Belize,BLZ,1975,13.4,
839,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Benin,BEN,1975,1.7,
881,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Bhutan,BTN,1975,0.6,
923,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Bolivia,BOL,1975,7.3,
965,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Bosnia and Herzegovina,BIH,1975,7.7,
1007,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Botswana,BWA,1975,4.6,
1049,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Brazil,BRA,1975,7.3,
1091,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Brunei Darussalam,BRN,1975,3.9,
1133,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Bulgaria,BGR,1975,12.9,
1175,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Burkina Faso,BFA,1975,0.7,
1217,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Burundi,BDI,1975,1.0,
1259,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Cabo Verde,CPV,1975,1.8,
1343,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Cameroon,CMR,1975,2.2,
4241,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Lithuania,LTU,1975,17.4,
2309,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Equatorial Guinea,GNQ,1975,2.1,
2393,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Estonia,EST,1975,16.6,
3401,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Iraq,IRQ,1975,17.2,
3443,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Ireland,IRL,1975,6.9,
3485,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Israel,ISR,1975,16.4,
3527,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Italy,ITA,1975,10.1,
3569,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Jamaica,JAM,1975,11.0,
3611,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Japan,JPN,1975,1.4,
3653,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Jordan,JOR,1975,18.5,
3695,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Kazakhstan,KAZ,1975,8.1,
3737,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Kenya,KEN,1975,1.4,
3779,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Kiribati,KIR,1975,20.2,
3821,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,"Korea, Dem. People's Rep.",PRK,1975,2.4,
3863,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,"Korea, Rep.",KOR,1975,0.8,
3905,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Kuwait,KWT,1975,28.0,
3947,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Kyrgyz Republic,KGZ,1975,5.6,
3989,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Lao PDR,LAO,1975,0.5,
4031,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Latvia,LVA,1975,18.0,
4073,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Lebanon,LBN,1975,15.9,
4115,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Lesotho,LSO,1975,5.8,
4157,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Liberia,LBR,1975,2.2,
3359,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,"Iran, Islamic Rep.",IRN,1975,10.4,
2351,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Eritrea,ERI,1975,1.0,
3317,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Indonesia,IDN,1975,0.7,
3233,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Iceland,ISL,1975,9.6,
2435,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Eswatini,SWZ,1975,6.2,
2477,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Ethiopia,ETH,1975,0.8,
2519,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Fiji,FJI,1975,13.3,
2561,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Finland,FIN,1975,7.8,
2603,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,France,FRA,1975,10.7,
2645,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Gabon,GAB,1975,2.9,
2687,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,"Gambia, The",GMB,1975,1.6,
2729,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Georgia,GEO,1975,8.0,
2771,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Germany,DEU,1975,9.8,
2813,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Ghana,GHA,1975,2.7,
2855,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Greece,GRC,1975,12.6,
2897,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Grenada,GRD,1975,8.8,
2939,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Guatemala,GTM,1975,7.7,
2981,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Guinea,GIN,1975,1.4,
3023,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Guinea-Bissau,GNB,1975,1.5,
3065,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Guyana,GUY,1975,8.1,
3107,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Haiti,HTI,1975,4.7,
3149,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Honduras,HND,1975,6.5,
3191,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Hungary,HUN,1975,15.1,
3275,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,India,IND,1975,0.5,
461,"Prevalence of obesity, female (% of female population ages 18+)",SH.STA.OB18.FE.ZS,Austria,AUT,1975,7.8,
8189,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Angola,AGO,1975,0.2,
8273,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Argentina,ARG,1975,9.0,
13145,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,New Zealand,NZL,1975,9.4,
13187,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Nicaragua,NIC,1975,3.6,
13229,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Niger,NER,1975,0.2,
13271,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Nigeria,NGA,1975,0.3,
13313,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,North Macedonia,MKD,1975,6.6,
13355,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Norway,NOR,1975,5.6,
13397,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Oman,OMN,1975,2.3,
13439,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Pakistan,PAK,1975,0.5,
13481,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Palau,PLW,1975,21.7,
13523,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Panama,PAN,1975,3.2,
13565,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Papua New Guinea,PNG,1975,3.2,
13607,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Paraguay,PRY,1975,2.6,
13649,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Peru,PER,1975,3.2,
13691,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Philippines,PHL,1975,0.4,
13733,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Poland,POL,1975,7.4,
13775,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Portugal,PRT,1975,3.8,
13817,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Qatar,QAT,1975,11.3,
13859,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Romania,ROU,1975,5.9,
13901,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Russian Federation,RUS,1975,5.4,
13103,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Netherlands,NLD,1975,4.1,
13943,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Rwanda,RWA,1975,0.1,
13061,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Nepal,NPL,1975,0.1,
12977,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Namibia,NAM,1975,0.7,
12179,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Lithuania,LTU,1975,7.1,
12221,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Luxembourg,LUX,1975,6.7,
12263,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Madagascar,MDG,1975,0.2,
12305,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Malawi,MWI,1975,0.2,
12347,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Malaysia,MYS,1975,0.7,
12389,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Maldives,MDV,1975,0.2,
12431,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Mali,MLI,1975,0.3,
12473,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Malta,MLT,1975,11.7,
12515,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Marshall Islands,MHL,1975,20.1,
12557,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Mauritania,MRT,1975,0.3,
12599,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Mauritius,MUS,1975,1.1,
12641,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Mexico,MEX,1975,5.7,
12683,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,"Micronesia, Fed. Sts.",FSM,1975,13.3,
12725,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Moldova,MDA,1975,3.5,
12767,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Mongolia,MNG,1975,2.8,
12809,"Prevalence of obesity, male (% of male population ages 18+)",SH.STA.OB18.MA.ZS,Montenegro,MNE,1975,4.0,
